x3,y3,x4,y4,x5,y5,x6,y6,Digit
10,75,0,24,48,0,100,19,0
16,69,0,27,40,0,93,15,0
11,5,63,0,100,43,89,99,0
47,0,86,25,100,66,76,100,0
57,0,100,22,95,75,54,100,0
62,5,95,40,100,88,60,100,0
37,0,88,5,100,43,78,79,0
43,0,91,20,100,65,65,100,0
33,12,75,0,100,35,87,75,0
49,0,92,13,100,60,73,98,0
19,21,65,0,100,29,98,67,0
31,0,76,16,100,61,70,100,0
21,0,73,2,100,45,78,89,0
40,0,78,11,100,43,95,81,0
55,0,89,24,100,70,72,100,0
79,5,100,58,59,60,74,64,0
52,0,93,30,100,75,62,100,0
49,0,86,18,100,50,86,82,0
30,75,23,21,72,0,100,47,0
20,16,68,0,100,31,99,71,0
78,14,100,56,85,100,42,98,0
26,0,80,1,100,51,74,100,0
42,0,89,17,100,59,73,96,0
31,0,74,10,100,49,80,90,0
41,0,89,18,100,61,75,100,0
37,0,77,13,100,54,80,97,0
52,0,92,15,100,63,72,100,0
25,4,70,0,100,35,94,79,0
35,0,82,11,100,58,73,100,0
34,0,84,17,100,61,72,100,0
28,0,74,2,100,37,89,80,0
21,5,71,0,100,49,67,100,0
56,0,100,29,97,68,59,100,0
41,0,89,11,100,54,70,92,0
16,5,67,0,100,34,92,75,0
38,0,90,14,100,64,67,100,0
68,0,100,35,81,75,38,100,0
24,0,73,11,100,51,82,94,0
21,0,72,0,100,41,86,88,0
15,20,62,0,100,31,96,73,0
16,5,51,0,84,20,100,61,0
36,0,74,10,100,49,85,95,0
56,0,99,24,100,68,63,100,0
19,0,67,1,100,35,93,79,0
13,22,61,0,100,30,98,69,0
49,0,89,23,100,63,75,97,0
20,25,61,0,100,21,93,64,0
27,11,76,0,100,39,84,83,0
12,0,69,3,100,48,82,97,0
0,24,28,0,69,18,100,49,0
29,0,70,4,100,37,84,82,0
12,15,62,0,99,29,100,70,0
16,5,63,0,95,31,100,72,0
24,1,74,0,100,43,82,90,0
33,0,80,9,100,65,64,100,0
38,0,90,4,100,44,72,82,0
0,19,40,0,84,28,100,72,0
22,4,58,0,89,25,100,67,0
38,0,79,8,100,46,76,84,0
35,0,84,19,100,67,65,100,0
12,5,53,0,88,25,100,68,0
22,14,66,0,100,35,78,88,0
28,0,78,7,100,48,80,90,0
46,0,87,11,100,61,69,97,0
22,1,77,0,100,56,62,100,0
21,0,71,1,100,37,87,80,0
44,0,92,23,100,64,70,100,0
21,6,66,0,100,30,99,73,0
33,0,77,6,100,44,78,85,0
33,2,83,0,100,38,85,78,0
30,0,67,1,100,27,96,76,0
20,4,66,0,100,30,89,75,0
11,19,49,0,88,19,100,60,0
42,0,86,19,100,56,84,90,0
39,0,82,17,100,54,89,93,0
25,13,70,0,100,35,86,81,0
34,0,79,8,100,55,79,100,0
40,0,92,20,100,67,63,100,0
28,10,74,0,100,38,86,81,0
1,29,40,0,94,10,100,53,0
19,1,65,0,99,30,100,73,0
16,0,62,1,95,30,100,70,0
34,0,87,3,100,56,70,100,0
18,7,58,0,92,25,100,69,0
30,0,81,1,100,38,87,78,0
20,7,67,0,100,33,93,76,0
37,0,89,21,100,63,73,100,0
35,0,80,14,100,61,71,100,0
32,0,76,24,100,62,86,100,0
6,23,41,0,80,5,100,42,0
34,0,79,17,100,58,81,99,0
0,7,37,0,74,24,100,62,0
14,20,64,0,100,36,83,85,0
31,0,78,15,100,55,87,98,0
16,0,84,12,100,57,75,100,0
26,0,73,10,100,50,82,93,0
0,33,23,0,77,13,100,50,0
40,0,86,12,100,56,80,97,0
26,0,73,1,100,48,88,100,0
30,0,81,8,100,49,74,90,0
12,10,63,0,100,36,100,81,0
6,20,50,0,95,22,100,64,0
73,14,100,50,89,90,43,100,0
12,16,59,0,100,27,95,70,0
40,0,86,12,100,53,79,92,0
0,13,47,0,90,26,100,68,0
72,0,100,29,92,75,62,100,0
10,24,54,0,100,22,95,71,0
22,6,69,0,100,37,90,83,0
77,5,100,43,88,86,55,100,0
22,6,66,0,100,30,91,76,0
22,9,71,0,100,49,78,100,0
24,5,69,0,100,39,91,87,0
14,13,58,0,92,25,100,63,0
44,0,89,22,100,75,58,100,0
12,0,54,1,88,29,100,71,0
57,0,100,24,92,72,47,100,0
34,0,77,13,100,51,78,89,0
13,0,63,9,97,41,100,82,0
25,0,71,4,100,39,90,84,0
31,0,79,26,100,71,57,100,0
18,22,50,0,86,11,100,51,0
0,17,38,0,79,23,100,58,0
4,11,48,0,89,24,100,64,0
10,16,58,0,100,26,98,71,0
29,11,69,0,100,26,90,73,0
2,23,40,0,86,18,100,56,0
36,0,77,1,100,44,82,90,0
40,0,81,18,100,55,82,94,0
29,0,69,7,100,43,85,89,0
3,17,50,0,94,25,100,68,0
22,0,72,10,100,44,93,84,0
23,1,75,0,100,39,78,83,0
0,18,46,0,89,28,100,70,0
4,18,55,0,100,36,84,89,0
0,25,36,0,83,27,100,64,0
10,9,53,0,91,23,100,63,0
2,11,52,0,91,30,100,67,0
0,15,41,0,83,25,100,63,0
5,23,52,0,100,21,95,62,0
8,12,58,0,99,29,100,75,0
16,0,69,8,100,40,93,78,0
20,6,66,0,100,35,98,84,0
0,2,51,0,87,34,100,78,0
7,0,61,0,100,44,80,100,0
0,35,31,0,79,11,100,53,0
46,0,89,20,100,62,78,100,0
1,20,43,0,87,16,100,61,0
8,17,52,0,92,26,100,69,0
60,4,89,35,100,75,71,100,0
0,40,21,0,73,0,100,38,0
0,41,14,0,71,16,100,55,0
62,0,100,22,95,68,61,100,0
11,0,71,4,100,57,56,100,0
47,0,93,8,100,50,73,87,0
20,0,83,22,100,69,49,100,0
63,0,100,34,99,81,54,100,0
2,34,33,0,80,8,100,50,0
10,4,61,0,100,31,95,76,0
4,1,54,0,95,30,100,75,0
13,12,63,0,99,30,100,74,0
18,7,67,0,100,30,87,73,0
1,30,35,0,80,10,100,50,0
6,16,53,0,95,28,100,73,0
16,0,70,3,100,40,92,84,0
12,5,62,0,100,39,97,91,0
12,8,62,0,100,33,94,79,0
4,8,63,0,100,46,73,96,0
30,0,80,15,100,59,74,100,0
13,6,67,0,100,34,96,76,0
18,0,73,7,100,45,93,88,0
0,42,30,0,79,4,100,51,0
43,0,90,13,100,54,75,93,0
33,0,79,0,100,42,82,85,0
15,21,60,0,100,28,96,73,0
30,0,80,5,100,54,70,99,0
0,17,47,0,90,25,100,66,0
11,24,52,0,98,14,100,55,0
33,12,79,0,100,38,82,80,0
0,2,51,0,93,30,100,76,0
39,0,85,11,100,54,74,94,0
0,20,41,0,87,19,100,59,0
10,1,57,0,95,34,100,83,0
0,24,30,0,66,11,95,41,0
60,0,90,31,100,71,75,100,0
4,14,52,0,94,29,100,71,0
19,3,71,0,100,36,87,78,0
0,33,30,0,82,6,100,45,0
0,11,54,0,100,32,97,80,0
7,1,66,0,100,42,86,91,0
0,28,33,0,84,16,100,57,0
23,0,70,3,100,41,82,90,0
0,23,32,0,77,18,100,51,0
4,8,57,0,100,30,100,71,0
14,13,64,0,100,33,96,77,0
8,20,54,0,98,27,100,65,0
1,8,57,0,100,30,98,75,0
14,13,59,0,100,23,98,69,0
32,0,82,12,100,57,66,93,0
0,2,62,0,100,47,76,100,0
35,0,77,17,100,56,89,96,0
0,20,37,0,80,15,100,52,0
4,30,37,0,81,8,100,47,0
18,0,69,6,100,53,72,100,0
2,26,42,0,86,20,100,60,0
17,0,64,0,96,43,100,99,0
2,17,51,0,95,27,100,69,0
0,16,34,0,79,11,100,39,0
0,24,29,0,70,20,100,53,0
18,1,76,0,100,52,71,100,0
10,4,57,0,100,30,97,87,0
0,21,30,0,70,14,100,43,0
16,24,57,0,97,27,100,72,0
0,33,30,0,81,6,100,44,0
32,4,79,0,100,41,81,82,0
71,1,100,36,87,79,45,100,0
0,34,32,0,82,4,100,46,0
42,0,83,15,100,56,80,95,0
0,6,57,0,97,22,100,52,0
0,25,35,0,79,13,100,49,0
0,20,35,0,78,21,100,55,0
0,27,39,0,88,16,100,56,0
0,13,62,0,100,48,73,100,0
6,23,54,0,100,30,88,77,0
7,0,62,0,100,33,95,74,0
0,38,24,0,75,3,100,42,0
8,0,65,11,100,47,99,90,0
0,15,45,0,88,25,100,70,0
1,17,40,0,80,15,100,61,0
0,9,49,0,89,29,100,70,0
0,28,32,0,70,10,100,44,0
39,0,83,17,100,61,70,96,0
11,0,65,5,100,41,97,85,0
81,14,100,60,81,100,40,85,0
45,0,87,12,100,57,81,100,0
0,27,42,0,91,17,100,65,0
0,26,38,0,88,14,100,53,0
0,25,42,0,89,25,100,67,0
8,8,62,0,100,40,82,89,0
0,37,26,0,77,6,100,46,0
0,32,27,0,70,6,100,37,0
0,38,27,0,72,9,100,47,0
42,5,86,0,100,49,76,95,0
25,0,76,15,100,62,63,100,0
0,22,40,0,85,19,100,59,0
6,6,56,0,97,30,100,76,0
2,7,53,0,98,27,100,70,0
0,39,18,4,59,0,91,26,0
0,13,39,0,78,25,100,65,0
0,20,41,0,84,19,100,60,0
0,19,42,0,87,26,100,71,0
0,15,53,0,98,34,100,83,0
31,8,75,0,100,40,85,87,0
0,19,47,0,99,25,100,65,0
14,0,75,3,100,51,73,100,0
0,27,29,0,71,9,100,42,0
0,29,33,0,78,3,100,39,0
19,9,62,0,100,30,83,82,0
0,27,27,0,75,6,100,36,0
0,36,25,0,78,4,100,43,0
0,34,26,0,75,0,100,35,0
42,0,100,43,95,100,30,69,0
0,24,40,0,87,24,100,69,0
0,45,23,0,83,10,100,58,0
46,0,100,49,70,100,44,78,0
0,11,41,0,81,19,100,65,0
0,30,22,0,73,19,100,53,0
5,23,55,0,98,26,100,70,0
0,33,20,0,70,13,100,45,0
0,26,43,0,100,17,100,56,0
0,30,33,0,88,15,100,54,0
0,27,32,0,76,9,100,44,0
0,22,44,0,92,23,100,65,0
0,28,39,0,85,24,100,64,0
0,26,44,0,92,22,100,66,0
0,20,43,0,88,23,100,70,0
3,27,41,0,87,27,100,66,0
0,19,44,0,90,22,100,66,0
0,31,29,0,83,20,100,56,0
38,0,79,23,100,66,81,100,0
0,13,41,0,82,26,100,72,0
0,28,35,0,78,13,100,53,0
0,34,28,1,70,0,100,33,0
7,16,56,0,100,31,91,79,0
0,41,17,4,62,0,100,21,0
13,21,59,0,100,34,81,79,0
48,0,85,26,100,74,69,100,0
0,2,46,0,83,34,100,80,0
0,28,32,0,77,7,100,44,0
0,31,24,0,70,4,100,36,0
19,11,63,0,100,29,86,78,0
9,19,61,0,100,47,76,100,0
0,48,30,1,87,0,100,51,0
0,15,45,0,90,24,100,70,0
0,16,53,0,100,32,95,81,0
0,30,20,0,68,5,100,33,0
0,39,21,3,62,0,98,22,0
5,29,50,0,100,18,100,63,0
0,34,9,0,71,18,97,51,0
36,6,80,0,100,45,77,90,0
0,23,46,0,95,23,100,67,0
0,39,23,1,71,0,100,34,0
0,6,49,0,93,38,100,96,0
0,0,49,6,88,48,100,100,0
0,26,35,0,82,24,100,64,0
0,28,18,0,66,15,90,45,0
0,21,44,0,89,29,100,70,0
0,17,51,0,93,28,100,70,0
0,32,33,0,82,8,100,51,0
0,24,46,0,98,21,100,70,0
0,27,30,0,74,19,100,56,0
0,27,21,0,70,9,100,37,0
0,30,29,0,76,24,100,62,0
0,29,36,0,83,17,100,60,0
0,8,54,0,100,37,86,86,0
0,27,28,0,70,15,100,51,0
0,42,24,2,73,0,100,38,0
0,32,34,0,84,15,100,56,0
10,22,55,0,100,24,96,74,0
0,50,20,7,66,0,100,33,0
0,30,23,0,67,14,100,46,0
0,28,34,0,83,8,100,46,0
1,53,11,0,75,18,100,74,0
0,23,40,0,86,22,100,69,0
0,36,16,0,58,7,91,34,0
0,49,18,8,73,0,100,37,0
